您的性別,您購買塔位的動機為何為先幫自己的死後做打算,您購買塔位的動機為避免子女將來為自己辦理後事時感到困擾,您購買塔位的動機為先幫家人安排死後的事,您購買塔位的動機為避免辦理後事時有親戚干擾,您購買塔位的動機為投資理財的途徑,您在選購塔位時，會考慮品牌知名度,您在選購塔位時，會考慮廣告帶給您的感受,您在選購塔位時，會考慮價格合理性,您在選購塔位時，會考慮塔位設計是否美觀,您在選購塔位時，會考慮其設計是否與自身宗教相關,您在選購塔位時，會考慮付款方式,您在選購塔位時，會考慮喪葬人員的服務品質,您在選購塔位時，會考慮塔位地點,您在選購塔位時，會考慮科技化程度,我喜歡閱讀報紙及雜誌，以獲得多方面的資訊,假日時，我經常從事宗教相關活動,買東西時，我會細心比較價格,下班之後，我喜歡待在家裏與家人相處，而不願外出,我喜歡閱讀或吸收報章雜誌及廣播電視上所介紹的事物,我喜歡思考與談論生死、學相關的話題,我不想要子女將來為自己辦理往生事宜時有太多困擾,高知名度品牌的產品，通常品質也會較好,請選擇您願付價格最高的塔位
男,同意,普通,不同意,普通,不同意,不同意,不同意,同意,普通,不同意,普通,同意,同意,普通,普通,不同意,普通,普通,同意,同意,同意,不同意,美國舊金山靈骨塔 (SF)
女,同意,同意,同意,同意,普通,普通,不同意,非常同意,非常同意,普通,普通,非常同意,非常同意,同意,不同意,非常不同意,非常同意,同意,普通,同意,同意,普通,美國Lakewood陵園 (Lakewood)
女,同意,同意,同意,普通,不同意,普通,同意,同意,非常同意,普通,同意,非常同意,非常同意,同意,普通,非常不同意,同意,同意,同意,不同意,同意,普通,美國舊金山靈骨塔 (SF)
女,同意,同意,普通,不同意,非常不同意,普通,普通,非常同意,同意,普通,非常同意,非常同意,非常同意,普通,不同意,非常不同意,非常同意,普通,不同意,非常不同意,普通,同意,美國舊金山靈骨塔 (SF)
女,普通,普通,普通,普通,不同意,不同意,普通,同意,普通,普通,同意,同意,同意,普通,不同意,非常不同意,同意,普通,普通,不同意,同意,同意,美國舊金山靈骨塔 (SF)
男,普通,同意,同意,同意,非常不同意,不同意,普通,同意,普通,不同意,普通,同意,普通,普通,不同意,非常不同意,普通,普通,普通,同意,同意,同意,美國舊金山靈骨塔 (SF)
女,同意,同意,同意,同意,不同意,普通,同意,同意,同意,普通,不同意,非常同意,同意,同意,非常同意,非常不同意,同意,普通,非常同意,普通,普通,普通,美國Lakewood陵園 (Lakewood)
女,同意,同意,同意,同意,普通,普通,同意,非常同意,同意,普通,同意,非常同意,非常同意,同意,同意,普通,同意,同意,同意,同意,同意,同意,美國舊金山靈骨塔 (SF)
女,同意,同意,非常不同意,同意,非常不同意,不同意,非常不同意,同意,同意,同意,同意,非常同意,非常同意,同意,不同意,非常不同意,普通,不同意,同意,同意,非常同意,普通,美國Lakewood陵園 (Lakewood)
女,同意,同意,同意,同意,普通,普通,普通,非常同意,同意,普通,同意,同意,同意,同意,非常同意,非常不同意,普通,普通,同意,同意,同意,普通,美國Lakewood陵園 (Lakewood)
男,非常同意,非常同意,普通,普通,非常不同意,非常不同意,非常不同意,非常同意,非常不同意,非常不同意,普通,非常不同意,普通,非常不同意,非常不同意,非常不同意,普通,同意,普通,普通,非常同意,普通,巴黎拉雪茲神父墓園 (Paris) 
女,同意,同意,同意,同意,不同意,普通,普通,同意,同意,普通,普通,同意,非常同意,普通,同意,非常不同意,普通,普通,同意,非常不同意,同意,非常同意,美國舊金山靈骨塔 (SF)
男,非常不同意,非常不同意,普通,非常不同意,非常不同意,同意,同意,非常同意,非常不同意,非常不同意,非常不同意,非常同意,非常同意,不同意,同意,非常不同意,同意,非常同意,同意,非常同意,非常同意,普通,美國舊金山靈骨塔 (SF)
男,普通,普通,普通,普通,非常不同意,普通,普通,同意,同意,普通,普通,同意,同意,普通,普通,不同意,不同意,不同意,普通,不同意,普通,不同意,美國舊金山靈骨塔 (SF)
女,普通,普通,普通,普通,不同意,普通,普通,同意,同意,普通,普通,同意,同意,普通,普通,不同意,同意,同意,普通,普通,同意,普通,巴黎拉雪茲神父墓園 (Paris) 
男,非常同意,同意,非常同意,非常同意,普通,同意,非常同意,同意,普通,同意,同意,非常同意,同意,普通,非常同意,非常不同意,非常同意,非常同意,非常同意,普通,非常同意,普通,香港和合石靈骨塔 (HK)
女,非常同意,非常同意,不同意,不同意,非常不同意,同意,同意,非常同意,同意,非常不同意,同意,非常同意,非常同意,同意,不同意,非常不同意,非常同意,同意,非常同意,非常不同意,非常同意,普通,巴黎拉雪茲神父墓園 (Paris) 
女,同意,普通,同意,同意,非常不同意,同意,同意,非常同意,同意,同意,不同意,普通,同意,普通,非常同意,不同意,非常同意,普通,同意,普通,同意,同意,龍巖櫻花陵園 (LungYen)
男,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,美國舊金山靈骨塔 (SF)
女,同意,同意,不同意,不同意,不同意,不同意,不同意,同意,普通,普通,普通,普通,同意,普通,普通,非常不同意,非常同意,非常同意,普通,普通,非常同意,同意,美國舊金山靈骨塔 (SF)
男,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常同意,普通,非常同意,非常不同意,非常不同意,非常同意,非常不同意,同意,非常不同意,同意,非常不同意,同意,同意,同意,非常不同意,美國Lakewood陵園 (Lakewood)
女,同意,普通,同意,同意,不同意,不同意,普通,非常同意,普通,不同意,同意,同意,普通,同意,同意,非常不同意,同意,不同意,非常同意,同意,同意,普通,巴黎拉雪茲神父墓園 (Paris) 
男,非常同意,非常同意,普通,同意,不同意,不同意,普通,非常同意,普通,不同意,不同意,同意,同意,不同意,非常同意,非常不同意,不同意,普通,非常同意,同意,非常同意,非常不同意,美國Lakewood陵園 (Lakewood)
女,普通,普通,不同意,不同意,不同意,普通,普通,同意,同意,不同意,不同意,同意,同意,不同意,普通,不同意,同意,不同意,普通,不同意,同意,普通,龍巖櫻花陵園 (LungYen)
男,同意,同意,同意,同意,普通,不同意,不同意,同意,普通,普通,不同意,普通,同意,普通,普通,非常不同意,同意,普通,同意,同意,非常同意,同意,美國Lakewood陵園 (Lakewood)
男,非常不同意,不同意,不同意,不同意,非常不同意,不同意,不同意,不同意,不同意,不同意,不同意,不同意,不同意,不同意,非常同意,不同意,同意,不同意,不同意,非常不同意,非常不同意,非常不同意,龍巖櫻花陵園 (LungYen)
女,非常不同意,非常不同意,非常同意,非常不同意,非常不同意,非常不同意,非常不同意,非常同意,非常不同意,非常同意,同意,非常同意,非常同意,非常不同意,非常不同意,不同意,普通,不同意,不同意,普通,普通,普通,美國舊金山靈骨塔 (SF)
